DateID,Date,Year,Month,MonthName,Quarter,Day,Weekday,IsWeekend
20230101,2023-01-01,2023,1,January,Q1,1,Sunday,True
20230102,2023-01-02,2023,1,January,Q1,2,Monday,False
20230103,2023-01-03,2023,1,January,Q1,3,Tuesday,False
20230104,2023-01-04,2023,1,January,Q1,4,Wednesday,False
20230105,2023-01-05,2023,1,January,Q1,5,Thursday,False
20230106,2023-01-06,2023,1,January,Q1,6,Friday,False
20230107,2023-01-07,2023,1,January,Q1,7,Saturday,True
20230108,2023-01-08,2023,1,January,Q1,8,Sunday,True
20230109,2023-01-09,2023,1,January,Q1,9,Monday,False
20230110,2023-01-10,2023,1,January,Q1,10,Tuesday,False
20230111,2023-01-11,2023,1,January,Q1,11,Wednesday,False
20230112,2023-01-12,2023,1,January,Q1,12,Thursday,False
20230113,2023-01-13,2023,1,January,Q1,13,Friday,False
20230114,2023-01-14,2023,1,January,Q1,14,Saturday,True
20230115,2023-01-15,2023,1,January,Q1,15,Sunday,True
20230116,2023-01-16,2023,1,January,Q1,16,Monday,False
20230117,2023-01-17,2023,1,January,Q1,17,Tuesday,False
20230118,2023-01-18,2023,1,January,Q1,18,Wednesday,False
20230119,2023-01-19,2023,1,January,Q1,19,Thursday,False
20230120,2023-01-20,2023,1,January,Q1,20,Friday,False
20230121,2023-01-21,2023,1,January,Q1,21,Saturday,True
20230122,2023-01-22,2023,1,January,Q1,22,Sunday,True
20230123,2023-01-23,2023,1,January,Q1,23,Monday,False
20230124,2023-01-24,2023,1,January,Q1,24,Tuesday,False
20230125,2023-01-25,2023,1,January,Q1,25,Wednesday,False
20230126,2023-01-26,2023,1,January,Q1,26,Thursday,False
20230127,2023-01-27,2023,1,January,Q1,27,Friday,False
20230128,2023-01-28,2023,1,January,Q1,28,Saturday,True
20230129,2023-01-29,2023,1,January,Q1,29,Sunday,True
20230130,2023-01-30,2023,1,January,Q1,30,Monday,False
20230131,2023-01-31,2023,1,January,Q1,31,Tuesday,False
20230201,2023-02-01,2023,2,February,Q1,1,Wednesday,False
20230202,2023-02-02,2023,2,February,Q1,2,Thursday,False
20230203,2023-02-03,2023,2,February,Q1,3,Friday,False
20230204,2023-02-04,2023,2,February,Q1,4,Saturday,True
20230205,2023-02-05,2023,2,February,Q1,5,Sunday,True
20230206,2023-02-06,2023,2,February,Q1,6,Monday,False
20230207,2023-02-07,2023,2,February,Q1,7,Tuesday,False
20230208,2023-02-08,2023,2,February,Q1,8,Wednesday,False
20230209,2023-02-09,2023,2,February,Q1,9,Thursday,False
20230210,2023-02-10,2023,2,February,Q1,10,Friday,False
20230211,2023-02-11,2023,2,February,Q1,11,Saturday,True
20230212,2023-02-12,2023,2,February,Q1,12,Sunday,True
20230213,2023-02-13,2023,2,February,Q1,13,Monday,False
20230214,2023-02-14,2023,2,February,Q1,14,Tuesday,False
20230215,2023-02-15,2023,2,February,Q1,15,Wednesday,False
20230216,2023-02-16,2023,2,February,Q1,16,Thursday,False
20230217,2023-02-17,2023,2,February,Q1,17,Friday,False
20230218,2023-02-18,2023,2,February,Q1,18,Saturday,True
20230219,2023-02-19,2023,2,February,Q1,19,Sunday,True
20230220,2023-02-20,2023,2,February,Q1,20,Monday,False
20230221,2023-02-21,2023,2,February,Q1,21,Tuesday,False
20230222,2023-02-22,2023,2,February,Q1,22,Wednesday,False
20230223,2023-02-23,2023,2,February,Q1,23,Thursday,False
20230224,2023-02-24,2023,2,February,Q1,24,Friday,False
20230225,2023-02-25,2023,2,February,Q1,25,Saturday,True
20230226,2023-02-26,2023,2,February,Q1,26,Sunday,True
20230227,2023-02-27,2023,2,February,Q1,27,Monday,False
20230228,2023-02-28,2023,2,February,Q1,28,Tuesday,False
20230301,2023-03-01,2023,3,March,Q1,1,Wednesday,False
20230302,2023-03-02,2023,3,March,Q1,2,Thursday,False
20230303,2023-03-03,2023,3,March,Q1,3,Friday,False
20230304,2023-03-04,2023,3,March,Q1,4,Saturday,True
20230305,2023-03-05,2023,3,March,Q1,5,Sunday,True
20230306,2023-03-06,2023,3,March,Q1,6,Monday,False
20230307,2023-03-07,2023,3,March,Q1,7,Tuesday,False
20230308,2023-03-08,2023,3,March,Q1,8,Wednesday,False
20230309,2023-03-09,2023,3,March,Q1,9,Thursday,False
20230310,2023-03-10,2023,3,March,Q1,10,Friday,False
20230311,2023-03-11,2023,3,March,Q1,11,Saturday,True
20230312,2023-03-12,2023,3,March,Q1,12,Sunday,True
20230313,2023-03-13,2023,3,March,Q1,13,Monday,False
20230314,2023-03-14,2023,3,March,Q1,14,Tuesday,False
20230315,2023-03-15,2023,3,March,Q1,15,Wednesday,False
20230316,2023-03-16,2023,3,March,Q1,16,Thursday,False
20230317,2023-03-17,2023,3,March,Q1,17,Friday,False
20230318,2023-03-18,2023,3,March,Q1,18,Saturday,True
20230319,2023-03-19,2023,3,March,Q1,19,Sunday,True
20230320,2023-03-20,2023,3,March,Q1,20,Monday,False
20230321,2023-03-21,2023,3,March,Q1,21,Tuesday,False
20230322,2023-03-22,2023,3,March,Q1,22,Wednesday,False
20230323,2023-03-23,2023,3,March,Q1,23,Thursday,False
20230324,2023-03-24,2023,3,March,Q1,24,Friday,False
20230325,2023-03-25,2023,3,March,Q1,25,Saturday,True
20230326,2023-03-26,2023,3,March,Q1,26,Sunday,True
20230327,2023-03-27,2023,3,March,Q1,27,Monday,False
20230328,2023-03-28,2023,3,March,Q1,28,Tuesday,False
20230329,2023-03-29,2023,3,March,Q1,29,Wednesday,False
20230330,2023-03-30,2023,3,March,Q1,30,Thursday,False
20230331,2023-03-31,2023,3,March,Q1,31,Friday,False
20230401,2023-04-01,2023,4,April,Q2,1,Saturday,True
20230402,2023-04-02,2023,4,April,Q2,2,Sunday,True
20230403,2023-04-03,2023,4,April,Q2,3,Monday,False
20230404,2023-04-04,2023,4,April,Q2,4,Tuesday,False
20230405,2023-04-05,2023,4,April,Q2,5,Wednesday,False
20230406,2023-04-06,2023,4,April,Q2,6,Thursday,False
20230407,2023-04-07,2023,4,April,Q2,7,Friday,False
20230408,2023-04-08,2023,4,April,Q2,8,Saturday,True
20230409,2023-04-09,2023,4,April,Q2,9,Sunday,True
20230410,2023-04-10,2023,4,April,Q2,10,Monday,False
20230411,2023-04-11,2023,4,April,Q2,11,Tuesday,False
20230412,2023-04-12,2023,4,April,Q2,12,Wednesday,False
20230413,2023-04-13,2023,4,April,Q2,13,Thursday,False
20230414,2023-04-14,2023,4,April,Q2,14,Friday,False
20230415,2023-04-15,2023,4,April,Q2,15,Saturday,True
20230416,2023-04-16,2023,4,April,Q2,16,Sunday,True
20230417,2023-04-17,2023,4,April,Q2,17,Monday,False
20230418,2023-04-18,2023,4,April,Q2,18,Tuesday,False
20230419,2023-04-19,2023,4,April,Q2,19,Wednesday,False
20230420,2023-04-20,2023,4,April,Q2,20,Thursday,False
20230421,2023-04-21,2023,4,April,Q2,21,Friday,False
20230422,2023-04-22,2023,4,April,Q2,22,Saturday,True
20230423,2023-04-23,2023,4,April,Q2,23,Sunday,True
20230424,2023-04-24,2023,4,April,Q2,24,Monday,False
20230425,2023-04-25,2023,4,April,Q2,25,Tuesday,False
20230426,2023-04-26,2023,4,April,Q2,26,Wednesday,False
20230427,2023-04-27,2023,4,April,Q2,27,Thursday,False
20230428,2023-04-28,2023,4,April,Q2,28,Friday,False
20230429,2023-04-29,2023,4,April,Q2,29,Saturday,True
20230430,2023-04-30,2023,4,April,Q2,30,Sunday,True
20230501,2023-05-01,2023,5,May,Q2,1,Monday,False
20230502,2023-05-02,2023,5,May,Q2,2,Tuesday,False
20230503,2023-05-03,2023,5,May,Q2,3,Wednesday,False
20230504,2023-05-04,2023,5,May,Q2,4,Thursday,False
20230505,2023-05-05,2023,5,May,Q2,5,Friday,False
20230506,2023-05-06,2023,5,May,Q2,6,Saturday,True
20230507,2023-05-07,2023,5,May,Q2,7,Sunday,True
20230508,2023-05-08,2023,5,May,Q2,8,Monday,False
20230509,2023-05-09,2023,5,May,Q2,9,Tuesday,False
20230510,2023-05-10,2023,5,May,Q2,10,Wednesday,False
20230511,2023-05-11,2023,5,May,Q2,11,Thursday,False
20230512,2023-05-12,2023,5,May,Q2,12,Friday,False
20230513,2023-05-13,2023,5,May,Q2,13,Saturday,True
20230514,2023-05-14,2023,5,May,Q2,14,Sunday,True
20230515,2023-05-15,2023,5,May,Q2,15,Monday,False
20230516,2023-05-16,2023,5,May,Q2,16,Tuesday,False
20230517,2023-05-17,2023,5,May,Q2,17,Wednesday,False
20230518,2023-05-18,2023,5,May,Q2,18,Thursday,False
20230519,2023-05-19,2023,5,May,Q2,19,Friday,False
20230520,2023-05-20,2023,5,May,Q2,20,Saturday,True
20230521,2023-05-21,2023,5,May,Q2,21,Sunday,True
20230522,2023-05-22,2023,5,May,Q2,22,Monday,False
20230523,2023-05-23,2023,5,May,Q2,23,Tuesday,False
20230524,2023-05-24,2023,5,May,Q2,24,Wednesday,False
20230525,2023-05-25,2023,5,May,Q2,25,Thursday,False
20230526,2023-05-26,2023,5,May,Q2,26,Friday,False
20230527,2023-05-27,2023,5,May,Q2,27,Saturday,True
20230528,2023-05-28,2023,5,May,Q2,28,Sunday,True
20230529,2023-05-29,2023,5,May,Q2,29,Monday,False
20230530,2023-05-30,2023,5,May,Q2,30,Tuesday,False
20230531,2023-05-31,2023,5,May,Q2,31,Wednesday,False
20230601,2023-06-01,2023,6,June,Q2,1,Thursday,False
20230602,2023-06-02,2023,6,June,Q2,2,Friday,False
20230603,2023-06-03,2023,6,June,Q2,3,Saturday,True
20230604,2023-06-04,2023,6,June,Q2,4,Sunday,True
20230605,2023-06-05,2023,6,June,Q2,5,Monday,False
